"Time","{container=""tls-sidecar""}"
1680631200000,5795840
1680638400000,5816320
1680645600000,5849088
1680652800000,6025216
1680660000000,6074368
1680667200000,5914624
1680674400000,5959680
1680681600000,6234112
1680688800000,6127616
1680696000000,6168576
1680703200000,6021120
1680710400000,6217728
1680717600000,5967872
1680724800000,6217728
1680732000000,6119424
1680739200000,6131712
1680746400000,5967872
1680753600000,5898240
1680760800000,7770112
1680768000000,5881856
1680775200000,5865472
1680782400000,6189056
1680789600000,6078464
1680796800000,5992448
1680804000000,5996544
1680811200000,6361088
1680818400000,6066176
1680825600000,5939200
1680832800000,6070272
1680840000000,5918720
1680847200000,6324224
1680854400000,5808128
1680861600000,6148096
1680868800000,5861376
1680876000000,6021120
1680883200000,5840896
1680890400000,6053888
1680897600000,6201344
1680904800000,5718016
1680912000000,6082560
1680919200000,6148096
1680926400000,6492160
1680933600000,5980160
1680940800000,5836800
1680948000000,5771264
1680955200000,5885952
1680962400000,5795840
1680969600000,6045696
1680976800000,6266880
1680984000000,6008832
1680991200000,5984256
1680998400000,5779456
1681005600000,6082560
1681012800000,5976064
1681020000000,5754880
1681027200000,6057984
1681034400000,6127616
1681041600000,6025216
1681048800000,6103040
1681056000000,6000640
1681063200000,5996544
1681070400000,5799936
1681077600000,6057984
1681084800000,5914624
1681092000000,5984256
1681099200000,6017024
1681106400000,5779456
1681113600000,5746688
1681120800000,6283264
1681128000000,5922816
1681135200000,6164480
1681142400000,5865472
1681149600000,6008832
1681156800000,6045696
1681164000000,5906432
1681171200000,6000640
1681178400000,5804032
1681185600000,5918720
1681192800000,5931008
1681200000000,6012928
1681207200000,6123520
1681214400000,6074368
1681221600000,6107136
1681228800000,5996544
1681236000000,6045696
1681243200000,6053888
1681250400000,5984256
1681257600000,5955584
1681264800000,6123520
1681272000000,5967872
1681279200000,6017024
1681286400000,5902336
1681293600000,5783552
1681300800000,5992448
1681308000000,5844992
1681315200000,5779456
1681322400000,5959680
1681329600000,6045696
1681336800000,5898240
1681344000000,6041600
1681351200000,6049792
1681358400000,6201344
1681365600000,6078464
1681372800000,6160384
1681380000000,5840896
1681387200000,6369280
1681394400000,6332416
1681401600000,6201344
1681408800000,6119424
1681416000000,5996544
1681423200000,6098944
1681430400000,5959680
1681437600000,6270976
1681444800000,6348800
1681452000000,6045696
1681459200000,6230016
1681466400000,5804032
1681473600000,5877760
1681480800000,6066176
1681488000000,6037504
1681495200000,6221824

